Online shop URL,Label,Domain length,Top domain length,Presence of prefix 'www' ,Number  of digits,Number  of letters,Number  of dots (.),Number  of hyphens (-),Presence of credit card payment,Presence of money back payment,Presence of cash on delivery payment,Presence of crypto currency,Presence of free contact emails,Presence of logo URL,SSL certificate issuer,SSL certificate expire date,Issuer organization,SSL certificate issuer organization list item,Indication of young domain ,Domain registration date,Presence of TrustPilot reviews,TrustPilot score,Presence of SiteJabber reviews,Presence in the standard Tranco list,Tranco List rank
https://www.withmysunglasses.com,legitimate,24,3,1,0,27,2,0,1,1,0,0,2,1,R3,Sep  2 17:07:07 2023 GMT,Let's Encrypt,2,0,2015-12-03 12:01,0,-1,0,0,-1
https://yndrm.bio,fraudulent,9,3,0,0,13,1,0,0,0,0,0,2,0,R3,Oct 25 07:35:29 2023 GMT,Let's Encrypt,2,1,2023-07-27 00:00,0,,0,0,-1
https://www.pipstudio.com,legitimate,17,3,1,0,20,2,0,1,1,1,0,2,1,R3,Oct  2 23:23:40 2023 GMT,Let's Encrypt,2,0,2005-06-17 15:27,1,2.6,0,0,-1
https://www.knivesoff.com,fraudulent,17,3,1,0,20,2,0,1,1,0,0,3,1,GTS CA 1P5,Oct 17 01:03:26 2023 GMT,Google Trust Services LLC,9,1,2023-07-19 01:53,0,,0,0,-1
https://dakiheaven.eu,legitimate,13,2,0,0,17,1,0,1,1,0,0,2,1,R3,Sep 29 00:14:50 2023 GMT,Let's Encrypt,2,2,Hidden,1,4.4,0,0,-1
https://www.monsoon.co.uk,legitimate,17,5,1,0,19,3,0,1,1,1,0,2,1,Sectigo RSA Domain Validation Secure Server CA,Apr 23 23:59:59 2024 GMT,Sectigo Limited,3,2,Hidden,1,4,1,0,-1
https://www.einfachbaby.de,fraudulent,18,2,1,0,21,2,0,1,1,0,0,2,1,R3,Oct 21 09:51:16 2023 GMT,Let's Encrypt,2,2,Hidden,0,,0,0,-1
https://useclecticshop.com,fraudulent,18,3,0,0,22,1,0,1,1,0,0,0,1,E1,Oct 12 06:45:15 2023 GMT,Let's Encrypt,2,1,2023-05-16 05:42,0,,0,0,-1
https://www.designsswimsuit.com,fraudulent,23,3,1,0,26,2,0,1,1,0,1,0,1,GTS CA 1P5,Sep 14 07:38:12 2023 GMT,Google Trust Services LLC,9,1,2023-06-16 08:26,0,,0,0,-1
https://www.salecampingshop.com,fraudulent,23,3,1,0,26,2,0,1,1,0,0,0,1,E1,Oct 17 06:13:59 2023 GMT,Let's Encrypt,2,1,2023-07-19 06:59,0,,0,0,-1
https://www.loakeofficial.com,fraudulent,21,3,1,0,24,2,0,0,1,0,0,1,0,Cloudflare Inc ECC CA-3,Jun  9 23:59:59 2024 GMT,"Cloudflare, Inc.",1,1,2023-06-11 09:32,0,,0,0,-1
https://coffeeclick.ie,legitimate,14,2,0,0,18,1,0,1,1,1,1,2,1,R3,Oct 27 21:20:06 2023 GMT,Let's Encrypt,2,0,2016-06-08 00:00,1,4.8,0,0,-1
https://www.onsaleqsstools.com,fraudulent,22,3,1,0,25,2,0,1,1,0,0,0,1,GTS CA 1P5,Oct 27 08:26:55 2023 GMT,Google Trust Services LLC,9,1,2023-07-29 09:19,0,,0,0,-1
